Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/1/2020,2020,1,1,,11.1,,6.5,,8.8,,9.2,,0,,,,,,0.2,,,,25,,87,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/2/2020,2020,1,2,,6.7,,4.4,,5.5,,12.5,,0,,,,,,5.4,,,,26,,59,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/3/2020,2020,1,3,,10.8,,5.8,,8.3,,9.7,,0,,,,,,9.4,,,,25,,57,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/4/2020,2020,1,4,,7.8,,4.7,,6.2,,11.8,,0,,,,,,5.2,,,,26,,77,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/5/2020,2020,1,5,,7.4,,4,,5.7,,12.3,,0,,,,,,4.4,,,,26,,97,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/6/2020,2020,1,6,,6.8,,4.5,,5.6,,12.4,,0,,,,,,27,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/7/2020,2020,1,7,,10.9,,5.9,,8.4,,9.6,,0,,,,,,20.4,,,,23,,68,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/8/2020,2020,1,8,,6.4,,3,,4.7,,13.3,,0,,,,,,0.2,,,,26,,71,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/9/2020,2020,1,9,,6,,2.1,,4,,14,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/10/2020,2020,1,10,,8,,3.1,,5.6,,12.4,,0,,,,,,7.8,,,,12,,60,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/11/2020,2020,1,11,,6.9,,3.9,,5.4,,12.6,,0,,,,,,2.8,,,,27,,67,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/12/2020,2020,1,12,,6.5,,-1.4,,2.5,,15.5,,0,,,,,,,M,,,25,,84,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/13/2020,2020,1,13,,-1.3,,-5.4,,-3.3,,21.3,,0,,,,,,,,,,1,,44,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/14/2020,2020,1,14,,-2,,-5.7,,-3.8,,21.8,,0,,,,,,,,,,4,,38,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/15/2020,2020,1,15,,4,,-4.6,,-0.3,,18.3,,0,,,,,,,M,,,15,,87,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/16/2020,2020,1,16,,6.4,,-0.3,,3.1,,14.9,,0,,,,,,0,,,,15,,81,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/17/2020,2020,1,17,,5.1,,-0.4,,2.3,,15.7,,0,,,,,,,M,,,11,,53,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/18/2020,2020,1,18,,8.3,,3.9,,6.1,,11.9,,0,,,,,,0.6,,,,12,,69,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/19/2020,2020,1,19,,9.6,,5.6,,7.6,,10.4,,0,,,,,,0.2,,,,7,,32,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/20/2020,2020,1,20,,9.1,,6.6,,7.9,,10.1,,0,,,,,,0.4,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/21/2020,2020,1,21,,9.6,,6.2,,7.9,,10.1,,0,,,,,,12,,,,12,,64,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/22/2020,2020,1,22,,7.7,,6.1,,6.9,,11.1,,0,,,,,,10.6,,,,10,,46,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/23/2020,2020,1,23,,9.8,,6.9,,8.3,,9.7,,0,,,,,,9,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/24/2020,2020,1,24,,10.4,,6.3,,8.4,,9.6,,0,,,,,,6.4,,,,21,,33,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/25/2020,2020,1,25,,10.3,,6.5,,8.4,,9.6,,0,,,,,,1,,,,9,,38,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/26/2020,2020,1,26,,11.3,,7,,9.1,,8.9,,0,,,,,,2.2,,,,13,,60,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/27/2020,2020,1,27,,8.7,,6.3,,7.5,,10.5,,0,,,,,,5,,,,9,,54,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/28/2020,2020,1,28,,8,,5.9,,6.9,,11.1,,0,,,,,,3.6,,,,12,,36,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/29/2020,2020,1,29,,10.7,,6.4,,8.5,,9.5,,0,,,,,,9.6,,,,26,,55,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/30/2020,2020,1,30,,8.7,,5.6,,7.2,,10.8,,0,,,,,,4,,,,10,,31,
-123.32,48.41,VICTORIA GONZALES CS,1018611,1/31/2020,2020,1,31,,13.5,,6.8,,10.2,,7.8,,0,,,,,,28,,,,26,,62,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/1/2020,2020,2,1,,10.3,,2.9,,6.6,,11.4,,0,,,,,,33.8,,,,26,,74,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/2/2020,2020,2,2,,5.5,,1.7,,3.6,,14.4,,0,,,,,,0,,,,24,,47,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/3/2020,2020,2,3,,5.8,,0.8,,3.3,,14.7,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/4/2020,2020,2,4,,3.8,,0.9,,2.3,,15.7,,0,,,,,,8.6,,,,10,,46,
